video_id,title,published_at,views,likes,comments,year,league,engagement_rate,snapshot_date
wPaV683gf1c,Rookie of the Month Highlights: A&#39;ja Wilson!,2018-08-02 02:52:20+00:00,7969,127,9,2018,WNBA,0.0171,2026-05-26T15:33:24.987933
z2ax41T61UA,"Courtney Williams Scores HUGE Stat Line (17 PTS, 8 REB, 6 AST) vs. Liberty",2018-08-02 02:51:48+00:00,1476,25,2,2018,WNBA,0.0183,2026-05-26T15:33:24.987933
itEHgX0ls6A,Jonquel Jones Drops 21 PTS Off The Bench For Sun,2018-08-02 02:50:18+00:00,789,11,0,2018,WNBA,0.0139,2026-05-26T15:33:24.987933
07euxWw3CGY,Best of Courtney Vandersloot&#39;s Historic 50 AST Over Four Games,2018-08-01 06:36:39+00:00,1580,46,2,2018,WNBA,0.0304,2026-05-26T15:33:24.987933
w_1uxCuh96c,Jewell Loyd Goes OFF For 29 PTS In Storm Win,2018-08-01 06:36:03+00:00,977,28,1,2018,WNBA,0.0297,2026-05-26T15:33:24.987933
DjWF3TRWH7g,"Liz Cambage Scores 33 PTS, 13 REB vs. Sky",2018-08-01 06:35:35+00:00,12208,163,14,2018,WNBA,0.0145,2026-05-26T15:33:24.987933
0jDBbfWi9hU,Courtney Vandersloot Notches Monster 14 AST vs. Wings,2018-08-01 06:35:09+00:00,516,18,1,2018,WNBA,0.0368,2026-05-26T15:33:24.987933
iU0lGaobfuY,Elena Delle Donne Drops HUGE Double-Double vs. Dream,2018-08-01 06:34:25+00:00,3000,75,4,2018,WNBA,0.0263,2026-05-26T15:33:24.987933
SZkr_lT6hrg,Sue Bird Drops 8 Assists In Record-Setting 11th All-Star Game Appearance,2018-07-29 00:26:52+00:00,3590,65,2,2018,WNBA,0.0187,2026-05-26T15:33:24.987933
vNWV0_RBQmI,All-Star 3-PT Shooting Contestants Highlight Mix,2018-07-27 02:12:59+00:00,994,25,2,2018,WNBA,0.0272,2026-05-26T15:33:24.987933
XG51TFb7KV4,All-Star Captains Mix: EDD &amp; Candace Parker,2018-07-27 02:11:08+00:00,1397,58,4,2018,WNBA,0.0444,2026-05-26T15:33:24.987933
Ot2hAg27gwk,Sue Bird&#39;s Career All-Star Highlight Mix,2018-07-27 02:02:50+00:00,98268,925,220,2018,WNBA,0.0117,2026-05-26T15:33:24.987933
nqrnyzgViEQ,Angel McCoughtry with 19 Points vs.  Los Angeles Sparks,2018-07-25 05:17:08+00:00,719,19,7,2018,WNBA,0.0362,2026-05-26T15:33:24.987933
